Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Wound Care System,Model 1153,Cook Medical,v15.0,2021-08-24,Class IIa,HC-871016,Pediatric (2-18),Indicated for real-time glucose levels assessment in emergency department triage protocols.,Avoid use in patients with heart valves or vascular stents. Not suitable for maintenance procedures.,Autoclave,6,6,6.0,10.09,40.0,Device Name: Wound Care System. Model: Model 1153. Manufacturer: Cook Medical. Indications: Indicated for real-time glucose levels assessment in emergency department triage protocols.. Contraindications: Avoid use in patients with heart valves or vascular stents. Not suitable for maintenance procedures..
Patient Monitor,Max611,3M Healthcare,Version 9,2021-02-20,Class II,MDR-970278,Adult (18-65),Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.,Not recommended for use in radiation therapy patients or those with immunodeficiency.,Autoclave,8,18,12.0,2.73,36.0,Device Name: Patient Monitor. Model: Max611. Manufacturer: 3M Healthcare. Indications: Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.. Contraindications: Not recommended for use in radiation therapy patients or those with immunodeficiency..
Dialysis Machine,Model 7456,Thermo Fisher Scientific,Rev. 5.0,2016-07-06,Class III,PMA409897,Infant (0-2),Used for electrotherapy guidance in oncology treatment centers for cancer patients.,Not suitable for use during electromagnetic therapy or X-ray.,Steam Sterilization,12,17,20.0,129.04,18.0,Device Name: Dialysis Machine. Model: Model 7456. Manufacturer: Thermo Fisher Scientific. Indications: Used for electrotherapy guidance in oncology treatment centers for cancer patients.. Contraindications: Not suitable for use during electromagnetic therapy or X-ray..
Anesthesia Machine,Max989,Johnson & Johnson,v4.4,2020-09-24,Class IIb,K186101,Adult and Pediatric,Indicated for electrolyte balance surveillance in infection control protocols.,None,Chemical Sterilization,24,21,,62.51,8.0,Device Name: Anesthesia Machine. Model: Max989. Manufacturer: Johnson & Johnson. Indications: Indicated for electrolyte balance surveillance in infection control protocols.. Contraindications: None.
Surgical Robot,Model 9468,Mölnlycke Health Care,Rev. 1.0,2025-01-28,Class IIb,H695791,All,Indicated for respiratory rate surveillance in infection control protocols.,Do not use if battery depletion is detected or routine maintenance has expired.,Dry Heat,25,23,8.0,19.7,14.0,Device Name: Surgical Robot. Model: Model 9468. Manufacturer: Mölnlycke Health Care. Indications: Indicated for respiratory rate surveillance in infection control protocols.. Contraindications: Do not use if battery depletion is detected or routine maintenance has expired..
Blood Pressure Monitor,X-4451,Stryker,2022-11-F,2019-06-05,Class IIb,H436280,Pediatric (2-18),Used for intraoperative calibration monitoring during complex cardiac surgeries.,Avoid use if patient has sepsis or history of embolism.,Autoclave,14,11,9.0,4.36,23.0,Device Name: Blood Pressure Monitor. Model: X-4451. Manufacturer: Stryker. Indications: Used for intraoperative calibration monitoring during complex cardiac surgeries.. Contraindications: Avoid use if patient has sepsis or history of embolism..
Nebulizer,Model 9836,Sartorius,v5.3,2022-12-11,Class IIb,IDE476793,Adult,Used for emergency blood transfusion in acute cancer situations requiring immediate care.,Avoid use in patients with ports and catheters or pins and wires. Not suitable for emergency situations.,Chemical Sterilization,4,9,6.0,6.26,30.0,Device Name: Nebulizer. Model: Model 9836. Manufacturer: Sartorius. Indications: Used for emergency blood transfusion in acute cancer situations requiring immediate care.. Contraindications: Avoid use in patients with ports and catheters or pins and wires. Not suitable for emergency situations..
Digital Thermometer,Pro621,Karl Storz,Version 1,2021-03-05,Class III,D134864,Adult (18-65),Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Do not use during general anesthesia administration or in sedated.,Ethylene Oxide (EtO),4,9,4.0,0.43,17.0,Device Name: Digital Thermometer. Model: Pro621. Manufacturer: Karl Storz. Indications: Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.. Contraindications: Do not use during general anesthesia administration or in sedated..
ECG Machine,EDW624,Edwards Lifesciences,v4.8,2016-01-24,Class III,D986719,Adult (18-65),Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.,Not suitable for use in aircraft cabins with radiation or during unsupervised use.,Single-Use Sterile,8,4,,15.83,13.0,Device Name: ECG Machine. Model: EDW624. Manufacturer: Edwards Lifesciences. Indications: Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.. Contraindications: Not suitable for use in aircraft cabins with radiation or during unsupervised use..
Defibrillator,OLY224,Olympus Corporation,Rev. 3.3,2022-06-30,Class I,H199730,Infant (0-2),Intended for life support evaluation in rehabilitation medicine for critical illness recovery.,Not recommended for patients with hepatic dysfunction or severe severe hypertension.,Autoclave,17,24,4.0,9.22,32.0,Device Name: Defibrillator. Model: OLY224. Manufacturer: Olympus Corporation. Indications: Intended for life support evaluation in rehabilitation medicine for critical illness recovery.. Contraindications: Not recommended for patients with hepatic dysfunction or severe severe hypertension..
CPAP Machine,Model 2265,IDEXX Laboratories,Rev. 6.8,2015-04-26,Class III,NDA111946,Neonatal,Designed for thermal therapy optimization in chronic disease management programs.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),9,14,13.0,8.58,39.0,Device Name: CPAP Machine. Model: Model 2265. Manufacturer: IDEXX Laboratories. Indications: Designed for thermal therapy optimization in chronic disease management programs.. Contraindications: Do not use if battery depletion is detected or routine maintenance has expired..
Pulse Oximeter,Plus254,Synthes,Rev. 10.7,2025-11-17,Class IIa,CE5536,Adult,Intended for mechanical ventilation delivery in palliative care settings for terminal patients.,Not recommended in presence of severe cardiac arrhythmias or at infected areas locations.,Not Applicable,5,9,3.0,0.19,31.0,Device Name: Pulse Oximeter. Model: Plus254. Manufacturer: Synthes. Indications: Intended for mechanical ventilation delivery in palliative care settings for terminal patients.. Contraindications: Not recommended in presence of severe cardiac arrhythmias or at infected areas locations..
Insulin Pump,Model 5804,ResMed,Version 20,2018-06-10,Class I,D132753,Neonatal,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with hepatic dysfunction or burns risk.,Dry Heat,11,11,12.0,1.57,27.0,Device Name: Insulin Pump. Model: Model 5804. Manufacturer: ResMed. Indications: Used for phototherapy guidance in oncology treatment centers for cancer patients.. Contraindications: Contraindicated in patients with hepatic dysfunction or burns risk..
Surgical Robot,ABB184,Abbott,v4.0,2019-09-23,Class III,NMPA-697769,Geriatric,Intended for joint replacement delivery in palliative care settings for terminal patients.,Avoid use in patients with sepsis or altered consciousness.,Hydrogen Peroxide Plasma,9,13,4.0,2.92,29.0,Device Name: Surgical Robot. Model: ABB184. Manufacturer: Abbott. Indications: Intended for joint replacement delivery in palliative care settings for terminal patients.. Contraindications: Avoid use in patients with sepsis or altered consciousness..
Patient Monitor,Model 3982,Dexcom,Version 4,2025-11-20,Class I,PMDA-649312,Adult (>65),Used for intraoperative data analysis monitoring during complex urological surgeries.,Not suitable for use with vasoconstrictors or in extreme temperature environments.,Hydrogen Peroxide Plasma,8,14,8.0,6.67,18.0,Device Name: Patient Monitor. Model: Model 3982. Manufacturer: Dexcom. Indications: Used for intraoperative data analysis monitoring during complex urological surgeries.. Contraindications: Not suitable for use with vasoconstrictors or in extreme temperature environments..
Blood Pressure Monitor,HOL392,Hologic,Version 16,2018-08-24,Class I,PMDA-384899,Infant (0-2),Intended for therapeutic delivery therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with severe respiratory failure or uncontrolled sepsis.,Chemical Sterilization,9,12,7.0,5.25,32.0,Device Name: Blood Pressure Monitor. Model: HOL392. Manufacturer: Hologic. Indications: Intended for therapeutic delivery therapy in intensive care unit environments for critically ill patients.. Contraindications: Contraindicated in patients with severe respiratory failure or uncontrolled sepsis..
CPAP Machine,WAT738,Waters Corporation,v9.3,2019-05-09,Class II,NDA181807,Pediatric (2-18),Designed for home-based dialysis in stable mentally impaired patients with chronic stroke.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Autoclave,9,8,12.0,17.05,10.0,Device Name: CPAP Machine. Model: WAT738. Manufacturer: Waters Corporation. Indications: Designed for home-based dialysis in stable mentally impaired patients with chronic stroke.. Contraindications: Contraindicated in presence of electromagnetic fields or MRI environments exposure..
Defibrillator,Model 2552,Coloplast,Version 14,2017-08-13,Class I,NMPA-916604,Neonatal,Intended for defibrillation delivery in palliative care settings for terminal patients.,Contraindicated in patients with immunodeficiency or on cleaning solvents.,Not Applicable,18,19,13.0,12.47,13.0,Device Name: Defibrillator. Model: Model 2552. Manufacturer: Coloplast. Indications: Intended for defibrillation delivery in palliative care settings for terminal patients.. Contraindications: Contraindicated in patients with immunodeficiency or on cleaning solvents..
Catheter,COO602,Cooper Companies,Version 7,2015-08-30,Class IIa,NMPA-129529,Infant (0-2),Designed for home-based thermal therapy in stable radiation therapy patients with chronic infectious diseases.,Do not use if sensor failure is detected or quality control has expired.,Dry Heat,10,9,4.0,18.39,32.0,Device Name: Catheter. Model: COO602. Manufacturer: Cooper Companies. Indications: Designed for home-based thermal therapy in stable radiation therapy patients with chronic infectious diseases.. Contraindications: Do not use if sensor failure is detected or quality control has expired..
Insulin Pump,Pro372,BioMérieux,2023-04-O,2015-02-09,Class I,Q337597,Adult,Designed for perioperative cardiac output management during oncological interventions.,Avoid use in patients with pacemakers or altered consciousness.,Not Applicable,8,12,8.0,5.96,39.0,Device Name: Insulin Pump. Model: Pro372. Manufacturer: BioMérieux. Indications: Designed for perioperative cardiac output management during oncological interventions.. Contraindications: Avoid use in patients with pacemakers or altered consciousness..
CPAP Machine,Model 8398,IDEXX Laboratories,v15.4,2015-05-23,Class IIa,Q332147,Infant (0-2),Indicated for continuous blood pressure monitoring during endoscopic surgical procedures.,Avoid use in patients with skin allergies or uncontrolled metal implants.,Ethylene Oxide (EtO),3,6,14.0,3.77,,Device Name: CPAP Machine. Model: Model 8398. Manufacturer: IDEXX Laboratories. Indications: Indicated for continuous blood pressure monitoring during endoscopic surgical procedures.. Contraindications: Avoid use in patients with skin allergies or uncontrolled metal implants..
Wound Care System,Max616,3M Healthcare,Version 20,2015-07-30,Class III,K725289,Adult (18-65),Indicated for emergency blood gas analysis stabilization in trauma center resuscitation rooms.,Contraindicated in presence of flammable anesthetics or during cryotherapy.,,3,7,4.0,19.03,27.0,Device Name: Wound Care System. Model: Max616. Manufacturer: 3M Healthcare. Indications: Indicated for emergency blood gas analysis stabilization in trauma center resuscitation rooms.. Contraindications: Contraindicated in presence of flammable anesthetics or during cryotherapy..
Patient Monitor,STR357,Stryker,Rev. 1.9,2022-03-19,Class III,PMDA-526111,Adult and Pediatric,Designed for cardiac therapy optimization in chronic disease management programs.,Not recommended for use in sedated patients or those with severe anemia.,Dry Heat,13,16,10.0,3.76,39.0,Device Name: Patient Monitor. Model: STR357. Manufacturer: Stryker. Indications: Designed for cardiac therapy optimization in chronic disease management programs.. Contraindications: Not recommended for use in sedated patients or those with severe anemia..
Digital Thermometer,Pro323,Zeiss Medical Technology,Rev. 3.6,2018-07-16,Class IIb,H554526,Adult (18-65),Designed for joint replacement support in neonatal intensive care environments.,Not suitable for use in cleaning protocols with radiation or during power outages.,Dry Heat,7,14,6.0,0.27,16.0,Device Name: Digital Thermometer. Model: Pro323. Manufacturer: Zeiss Medical Technology. Indications: Designed for joint replacement support in neonatal intensive care environments.. Contraindications: Not suitable for use in cleaning protocols with radiation or during power outages..
Pulse Oximeter,Model 4470,,2022-06-B,2015-08-13,Class I,PMDA-625037,Adult (>65),Indicated for blood pressure analysis in laboratory diagnostic testing environments.,Do not use during general anesthesia administration or in sedated.,Dry Heat,3,6,5.0,0.14,23.0,Device Name: Pulse Oximeter. Model: Model 4470. Manufacturer: nan. Indications: Indicated for blood pressure analysis in laboratory diagnostic testing environments.. Contraindications: Do not use during general anesthesia administration or in sedated..
X-Ray Machine,Model 6214,Aesculap,v4.1,2017-12-29,Class IIb,MDR-417903,Adult and Pediatric,Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,Contraindicated in presence of muscle relaxants or during microwave diathermy.,Hydrogen Peroxide Plasma,7,7,8.0,5.35,10.0,Device Name: X-Ray Machine. Model: Model 6214. Manufacturer: Aesculap. Indications: Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.. Contraindications: Contraindicated in presence of muscle relaxants or during microwave diathermy..
Defibrillator,X-4464,Boston Scientific,Version 16,2017-05-26,Class III,PMDA-928376,Neonatal,Used for therapeutic thermal therapy in pediatric patients requiring defibrillation.,Avoid use in patients with skin allergies or altered consciousness.,Chemical Sterilization,21,18,8.0,1.78,36.0,Device Name: Defibrillator. Model: X-4464. Manufacturer: Boston Scientific. Indications: Used for therapeutic thermal therapy in pediatric patients requiring defibrillation.. Contraindications: Avoid use in patients with skin allergies or altered consciousness..
Pacemaker,Pro146,Coloplast,Version 4,2016-03-05,Class IIb,H345251,Adult and Pediatric,Used for long-term compression therapy delivery in ambulatory care settings for cancer patients.,Do not use in patients with cardiomyopathy. Contraindicated in maintenance procedures.,Single-Use Sterile,9,5,20.0,0.1,42.0,Device Name: Pacemaker. Model: Pro146. Manufacturer: Coloplast. Indications: Used for long-term compression therapy delivery in ambulatory care settings for cancer patients.. Contraindications: Do not use in patients with cardiomyopathy. Contraindicated in maintenance procedures..
Ventilator,ABB164,Abbott,v10.8,2025-05-04,Class III,HDE938502,All,Indicated for blood pressure surveillance in infection control protocols.,Avoid use if patient has pregnancy or is receiving antiseptics.,Not Applicable,15,29,19.0,52.29,39.0,Device Name: Ventilator. Model: ABB164. Manufacturer: Abbott. Indications: Indicated for blood pressure surveillance in infection control protocols.. Contraindications: Avoid use if patient has pregnancy or is receiving antiseptics..
Electrosurgical Unit,ALI371,Align Technology,Rev. 2.5,2019-05-03,Class I,P775751,Pediatric (2-18),Designed for wound care assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,,21,29,13.0,16.17,20.0,Device Name: Electrosurgical Unit. Model: ALI371. Manufacturer: Align Technology. Indications: Designed for wound care assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in presence of radio frequencies or strong magnetic fields exposure..
Ultrasound Scanner,Model 8477,Intuitive Surgical,Rev. 1.1,2019-09-14,Class IIb,NMPA-684667,Adult (18-65),Indicated for diagnostic sterilization to assess orthopedic injuries in clinical environments.,Not suitable for use with alcohol-based solutions or in explosive atmospheres.,Ethylene Oxide (EtO),5,3,4.0,7.58,36.0,Device Name: Ultrasound Scanner. Model: Model 8477. Manufacturer: Intuitive Surgical. Indications: Indicated for diagnostic sterilization to assess orthopedic injuries in clinical environments.. Contraindications: Not suitable for use with alcohol-based solutions or in explosive atmospheres..
Catheter,Z-8479,Cooper Companies,Rev. 4.3,2023-01-20,Class III,H913821,All,Used for post-operative chemotherapy management in hospital recovery units.,Do not use if patient has known allergy to vasoconstrictors or hypersensitivity to conductive gels.,Gamma Irradiation,7,8,7.0,13.97,32.0,Device Name: Catheter. Model: Z-8479. Manufacturer: Cooper Companies. Indications: Used for post-operative chemotherapy management in hospital recovery units.. Contraindications: Do not use if patient has known allergy to vasoconstrictors or hypersensitivity to conductive gels..
Infusion Pump,DEX248,Dexcom,2020-11-Q,2019-10-26,Class IIb,NDA715804,Adult (18-65),Intended for calibration support in cardiac catheterization laboratory environments.,Contraindicated in patients with severe hypertension or on radioactive materials.,Ethylene Oxide (EtO),14,14,6.0,,15.0,Device Name: Infusion Pump. Model: DEX248. Manufacturer: Dexcom. Indications: Intended for calibration support in cardiac catheterization laboratory environments.. Contraindications: Contraindicated in patients with severe hypertension or on radioactive materials..
ECG Machine,Plus608,Olympus Corporation,2025-10-O,2023-01-21,Class IIb,PMDA-846907,Pediatric (2-18),Indicated for continuous intracranial pressure monitoring during endoscopic surgical procedures.,Not suitable for use in emergency situations with fire or during electromagnetic interference zones.,Single-Use Sterile,8,6,7.0,12.69,16.0,Device Name: ECG Machine. Model: Plus608. Manufacturer: Olympus Corporation. Indications: Indicated for continuous intracranial pressure monitoring during endoscopic surgical procedures.. Contraindications: Not suitable for use in emergency situations with fire or during electromagnetic interference zones..
Nebulizer,Plus772,Cook Medical,2020-04-V,2020-02-08,Class I,NDA393061,All,Intended for infection prevention verification in quality assurance and device validation protocols.,Do not use if structural defects is present or incision is infected.,Hydrogen Peroxide Plasma,7,9,9.0,5.74,34.0,Device Name: Nebulizer. Model: Plus772. Manufacturer: Cook Medical. Indications: Intended for infection prevention verification in quality assurance and device validation protocols.. Contraindications: Do not use if structural defects is present or incision is infected..
Electrosurgical Unit,AES311,Aesculap,Rev. 9.0,2025-01-08,Class IIb,UKCA28026,Adult (18-65),Designed for perioperative oxygen saturation management during thoracic interventions.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Not Applicable,20,27,5.0,,,Device Name: Electrosurgical Unit. Model: AES311. Manufacturer: Aesculap. Indications: Designed for perioperative oxygen saturation management during thoracic interventions.. Contraindications: Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure..
Patient Monitor,Model 9209,Zeiss Medical Technology,Version 7,2020-04-26,Class IIa,NDA916136,Pediatric (2-18),Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),13,14,11.0,,35.0,Device Name: Patient Monitor. Model: Model 9209. Manufacturer: Zeiss Medical Technology. Indications: Used for radiation therapy guidance in oncology treatment centers for cancer patients.. Contraindications: Do not use if battery depletion is detected or routine maintenance has expired..
CPAP Machine,Pro924,Sonova,v11.0,2017-07-22,Class II,BLA834987,Infant (0-2),Indicated for continuous electrolyte balance monitoring during reconstructive surgical procedures.,Not recommended in presence of cardiomyopathy or at open wounds locations.,UV Sterilization,6,7,7.0,7.3,14.0,Device Name: CPAP Machine. Model: Pro924. Manufacturer: Sonova. Indications: Indicated for continuous electrolyte balance monitoring during reconstructive surgical procedures.. Contraindications: Not recommended in presence of cardiomyopathy or at open wounds locations..
Blood Glucose Monitor,Model 7484,Terumo,2022-09-Y,2018-01-17,Class IIa,IVDR-597125,Geriatric,Indicated for continuous blood gas analysis monitoring during transplant surgical procedures.,Contraindicated in presence of contrast agents or during microwave diathermy.,Steam Sterilization,15,16,5.0,0.38,29.0,Device Name: Blood Glucose Monitor. Model: Model 7484. Manufacturer: Terumo. Indications: Indicated for continuous blood gas analysis monitoring during transplant surgical procedures.. Contraindications: Contraindicated in presence of contrast agents or during microwave diathermy..
Pulse Oximeter,Plus419,Mölnlycke Health Care,v5.8,2020-03-15,Class IIa,P544099,Adult (>65),Indicated for routine documentation screening in outpatient clinical facilities.,Avoid use in patients with peripheral vascular disease or severe skin allergies.,Hydrogen Peroxide Plasma,5,7,5.0,0.35,16.0,Device Name: Pulse Oximeter. Model: Plus419. Manufacturer: Mölnlycke Health Care. Indications: Indicated for routine documentation screening in outpatient clinical facilities.. Contraindications: Avoid use in patients with peripheral vascular disease or severe skin allergies..
Electrosurgical Unit,Model 7890,Hoya Corporation,Rev. 4.1,2020-10-16,Class III,NDA673911,Neonatal,Indicated for continuous ECG readings monitoring during ophthalmic surgical procedures.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,15,22,3.0,10.64,33.0,Device Name: Electrosurgical Unit. Model: Model 7890. Manufacturer: Hoya Corporation. Indications: Indicated for continuous ECG readings monitoring during ophthalmic surgical procedures.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Patient Monitor,BEC637,Becton Dickinson,v1.5,2020-03-17,Class III,,Infant (0-2),Intended for device maintenance verification in quality assurance and device validation protocols.,Avoid use in patients with contraceptive implants or ocular implants. Not suitable for explosive atmospheres.,Steam Sterilization,7,20,9.0,1.13,28.0,Device Name: Patient Monitor. Model: BEC637. Manufacturer: Becton Dickinson. Indications: Intended for device maintenance verification in quality assurance and device validation protocols.. Contraindications: Avoid use in patients with contraceptive implants or ocular implants. Not suitable for explosive atmospheres..
Infusion Pump,BAX866,Baxter International,Rev. 6.6,2024-08-30,Class IIa,UKCA52609,Pediatric (2-18),Designed for home-based wound irrigation in stable mentally impaired patients with chronic infectious diseases.,Contraindicated in patients with acute myocardial infarction or severe thrombocytopenia.,UV Sterilization,10,16,5.0,5.06,16.0,Device Name: Infusion Pump. Model: BAX866. Manufacturer: Baxter International. Indications: Designed for home-based wound irrigation in stable mentally impaired patients with chronic infectious diseases.. Contraindications: Contraindicated in patients with acute myocardial infarction or severe thrombocytopenia..
Surgical Drill,BEC662,Becton Dickinson,Rev. 9.7,2024-10-14,Class I,BLA443986,Geriatric,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with active infections or altered consciousness.,Single-Use Sterile,22,23,12.0,2.57,13.0,Device Name: Surgical Drill. Model: BEC662. Manufacturer: Becton Dickinson. Indications: Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.. Contraindications: Avoid use in patients with active infections or altered consciousness..
Defibrillator,C-6496,Alcon,v2.3,2025-05-27,Class III,P491885,Adult (>65),Used for intraoperative alarm management monitoring during complex emergency surgeries.,Avoid use in patients with active peripheral vascular disease or compromised respiratory function.,Ethylene Oxide (EtO),12,29,14.0,2.12,28.0,Device Name: Defibrillator. Model: C-6496. Manufacturer: Alcon. Indications: Used for intraoperative alarm management monitoring during complex emergency surgeries.. Contraindications: Avoid use in patients with active peripheral vascular disease or compromised respiratory function..
Surgical Drill,ZEI732,Zeiss Medical Technology,v1.7,2020-11-27,Class III,MDR-981589,Adult,Designed for perioperative oxygen saturation management during minimally invasive interventions.,Not suitable for use during diathermy procedures or X-ray.,Autoclave,24,15,12.0,7.67,18.0,Device Name: Surgical Drill. Model: ZEI732. Manufacturer: Zeiss Medical Technology. Indications: Designed for perioperative oxygen saturation management during minimally invasive interventions.. Contraindications: Not suitable for use during diathermy procedures or X-ray..
CPAP Machine,Z-8636,Waters Corporation,Version 14,2015-12-20,Class II,P627841,Infant (0-2),Used for post-operative phototherapy management in hospital recovery units.,Contraindicated in patients with stroke or unable to follow instructions.,Autoclave,7,5,15.0,10.42,11.0,Device Name: CPAP Machine. Model: Z-8636. Manufacturer: Waters Corporation. Indications: Used for post-operative phototherapy management in hospital recovery units.. Contraindications: Contraindicated in patients with stroke or unable to follow instructions..
Anesthesia Machine,Model 6563,Terumo,Version 15,2021-08-22,Class III,BLA475183,Pediatric,Used for intraoperative device maintenance monitoring during complex urological surgeries.,Contraindicated in patients with hepatic dysfunction or severe stroke.,Ethylene Oxide (EtO),24,25,19.0,125.74,35.0,Device Name: Anesthesia Machine. Model: Model 6563. Manufacturer: Terumo. Indications: Used for intraoperative device maintenance monitoring during complex urological surgeries.. Contraindications: Contraindicated in patients with hepatic dysfunction or severe stroke..
